prix,surface,prix_m2,nb_pieces,type,quartier,ville
200000.0,62.0,,3.0,Appartement,Cap Brun,Toulon
755250.0,138.0,,3.0,Appartement,Nouvelle Opportunité Financière! Situé Au Cap Brun À Toulon,Toulon
135000.0,6.0,,2.0,Appartement,Toulon Centre,Toulon
270000.0,85.0,,85.0,Appartement,Toulon - Haute Ville Un Appartement De 85 M² Niché Au Deuxième Étage D'Un Immeuble Art Déco. Ce Bien De 3/4 Pièces,Toulon
124120.0,32.0,,2.0,Appartement,? Exclusivité Gabriele Immobilier ? Découvrez Ce Charmant Appartement T2 Situé Au Dernier Étage D'Une Résidence Art Déco Avec Ascenseur,Toulon
345000.0,113.0,,5.0,Appartement,Votre Agence Laforêt Toulon Vous Propose : Appartement Type 5 Dans Une Résidence De Standing,Toulon
91000.0,30.0,,1.0,Appartement,Situé Dans Le Secteur Lyautey À Toulon,Toulon
315000.0,100.0,,5.0,Appartement,Situé Dans Le Très Recherché Quartier Du Mourillon À Toulon,Toulon
160000.0,2.0,,2.0,Appartement,Toulon Font Pre / Proche La Valette - En Plein Coeur De L'Écoquartier Au 2E Étage De L'Immeuble Avec Ascenseur,Toulon
194000.0,110.0,,4.0,Maison,,Toulon
129000.0,47.0,,2.0,Appartement,À Vendre – Appartement T2 Lumineux Avec Balcon,Toulon
434000.0,3.0,6113.0,3.0,Appartement,Iad France - Bruno Moullet Vous Propose : Appartement T3 De 71 M² Environ Avec Terrasse De 23 M² Environ Et Double Garage,Toulon
155000.0,47.0,,2.0,Appartement,Toulon Ouest- Appartement T2 Coup De Coeur – Dernier Étage Avec Ascenseur Et Balcon –Vue Mont Faron- Évolution Possible En T3 – Résidence De 2013 Situé Dans Le Quartier Pré-Fauchier,Toulon
220000.0,72.0,,4.0,Maison,,Toulon
1090000.0,215.0,5070.0,6.0,Maison,,Toulon
207500.0,4.0,,4.0,Appartement,Toulon Bas Faron- Appartement T4 De 71 M² 3 Chambres Balcon-Loggia Cave Et Parking Collectif Dans Une Résidence Au Calme,Toulon
270000.0,57.0,,4.0,Maison,Toulon - Ortolan,Toulon
92000.0,3.0,,3.0,Appartement,,Toulon
267000.0,5.0,,5.0,Appartement,Rare À La Vente ! Situé En Plein Cœur De Toulon,Toulon
410000.0,3.0,5857.0,3.0,Appartement,Iad France - Bruno Moullet Vous Propose : Appartement T3 De 70 M² Environ Avec Terrasse 13 M² Environ Et Double Garage,Toulon
495000.0,180.0,,4.0,Maison,Gabriele Immobilier Vous Présente À La Vente Cette Maison Individuelle De 180 M2 Environ,Toulon
198000.0,3.0,,3.0,Appartement,Toulon Est-Eco Quartier: Dans Une Résidence Avec Ascenseur,Toulon
550000.0,150.0,,5.0,Appartement,,Toulon
184000.0,83.0,,4.0,Appartement,,Toulon
269000.0,5.0,,5.0,Appartement,Toulon Appartement T5 Venez Découvrir Ce Magnifique Appartement De Type T5 De 93,Toulon
220000.0,73.0,,4.0,Appartement,Viagimmo Toulon Vous Propose Un Viager Occupé Au Profit D'Une Homme De 73 Ans . Toulon,Toulon
213805.0,107.0,,4.0,Maison,Vente En Viager Nue-Propriété ! Opportunité D'Investissement Toulon Ouest,Toulon
198000.0,54.0,,2017.0,Appartement,Toulon Est . Situé Dans Un Secteur Recherché,Toulon
85000.0,37.0,,2.0,Appartement,,Toulon
120000.0,61.0,,3.0,Appartement,Toulon Ouest – Saint Roch : Agréable T3 Avec Balcon Et Loggia Situé Dans Le Quartier Recherché De Saint Roch,Toulon
120000.0,66.0,,3.0,Appartement,Drd Immobilier Vous Propose En Exclusivité Cet Appartement T3 De 66 M²,Toulon
87200.0,1.0,,1.0,Appartement,,Toulon
169000.0,3.0,,3.0,Appartement,Mourillon-Sud,Toulon
149000.0,71.0,,3.0,Appartement,,Toulon
590000.0,131.0,,4.0,Maison,Toulon Ouest (83200) Située À Toulon Ouest,Toulon
400000.0,510.0,,5.0,Maison,Toulon Ouest (83200) Maison Indépendante De Plain-Pied De Type 5 Située Dans Le Secteur Des 4 Chemins Des Routes À Toulon Ouest,Toulon
560000.0,118.0,,5.0,Appartement,Cap Brun,Toulon
448000.0,82.0,5463.0,4.0,Appartement,Iad France - Sarah Durand Vous Propose: Toulon Haute-Ville,Toulon
196300.0,54.0,,3.0,Appartement,Iad France - Christelle Ingrassia Vous Propose: Situé Dans Un Quartier Prisé De Toulon Ouest,Toulon
308000.0,69.0,,3.0,Appartement,Champ De Mars,Toulon
1290000.0,220.0,5864.0,9.0,Maison,Iad France - Sarah Durand Vous Propose: Élégance & Prestige Au Cœur Du Mourillon Dans L'Un Des Quartiers Les Plus Recherchés De Toulon,Toulon
235000.0,74.0,,4.0,Appartement,Trois Quartiers-Siblas,Toulon
159000.0,4.0,,4.0,Appartement,En Exclusivité,Toulon
198500.0,50.0,,100.0,Appartement,Iad France - Jean Pierre De Mayo Vous Propose: Toulon Le Mourillon Situé À 100 Mt De La Plage,Toulon
168000.0,59.0,,3.0,Appartement,A Saisir Bel Appartement Exposé Plein Sud Situé Dans Secteur Très Demandé De Toulon Ouest À Proximité Des Transports,Toulon
550000.0,152.0,,4.0,Appartement,Place D'Armes,Toulon
199000.0,3.0,,3.0,Appartement,Toulon St Roch : Dans Petit Immeuble Bien Tenu Avec Ascenseur,Toulon
549000.0,556.0,6033.0,4.0,Maison,Notre Dame Des Routes,Toulon
960000.0,186.0,5161.0,6.0,Maison,Iad France - Sarah Durand Vous Propose: Toulon Cap Brun – Maison Familiale Au Coeur Du Calme Et De La Verdure Dans Un Environnement Recherché,Toulon
285000.0,112.0,,6.0,Appartement,Le Faron-Fort-Rouge,Toulon
250000.0,5.0,,4.0,Appartement,Champ De Mars,Toulon
160000.0,86.0,,3.0,Appartement,,Toulon
380000.0,80.0,5278.0,5.0,Appartement,Toulon Cap-Brun,Toulon
299000.0,83.0,,3.0,Appartement,,Toulon
201680.0,77.0,,2.0,Appartement,Immobilier.Notaires® Et L'Office Notarial Frédéric Layet Vous Proposent : Appartement À Vendre - Toulon (83000) - - - - - - - - - - - A Vendre/Appartement/Toulon : Quartier Haute-Ville,Toulon
159000.0,4.0,,4.0,Appartement,A Vendre À Toulon - Appartement T4 Occupe A Toulon,Toulon
145000.0,55.0,,2.0,Appartement,À Vendre : Charmant Appartement À Toulon Ouest ! Découvrez Ce Spacieux Appartement De 55 M² Situé Dans Le Secteur Toulon Ouest,Toulon
265000.0,67.0,,3.0,Appartement,Mourillon-Sud,Toulon
159000.0,81.0,,4.0,Appartement,Exclusivité Toulon Ouest,Toulon
199000.0,3.0,,3.0,Appartement,La Guilde Du Patrimoine Vous Présente En Exclusivité Dans Le Quartier De Toulon Ouest Cet Appartement De Type 3 D'Environ 57 M2. Il Se Compose D'Un Séjour/ Cuisine De 22 M2 Avec Sa Terrasse De 17 M2,Toulon
208949.0,85.0,,83000.0,Appartement,Immobilier.Notaires® Et L'Office Notarial Teuma Et Associés Vous Proposent : Appartement À Vendre - Toulon (83000) - - - - - - - - - - - Situé En Plein Cœur De Toulon,Toulon
273000.0,63.0,,3.0,Appartement,,Toulon
169000.0,80.0,,5.0,Appartement,Temple,Toulon
145000.0,57.0,,3.0,Appartement,,Toulon
95000.0,2.0,,2.0,Appartement,Capimmo Vous Présente Ce Charmant Appartement De Type 2,Toulon
179000.0,64.0,,3.0,Appartement,,Toulon
130600.0,66.0,,4.0,Appartement,,Toulon
289000.0,41.0,7049.0,2.0,Appartement,Situé Au Sein Du Quartier Prisé Du Cap Brun À Toulon,Toulon
466000.0,67.0,6955.0,3.0,Appartement,Situé Au Sein Du Quartier Prisé Du Cap Brun À Toulon,Toulon
584000.0,77.0,7584.0,3.0,Appartement,Situé Au Sein Du Quartier Prisé Du Cap Brun À Toulon,Toulon
460000.0,62.0,7419.0,3.0,Appartement,Situé Au Sein Du Quartier Prisé Du Cap Brun À Toulon,Toulon
423000.0,63.0,6714.0,3.0,Appartement,Situé Au Sein Du Quartier Prisé Du Cap Brun À Toulon,Toulon
443000.0,62.0,7145.0,3.0,Appartement,Situé Au Sein Du Quartier Prisé Du Cap Brun À Toulon,Toulon
213000.0,45.0,,2.0,Appartement,Au Calme,Toulon
236000.0,30.0,5130.0,2.0,Appartement,,Toulon
1265000.0,148.0,8547.0,4.0,Appartement,Situé Au Sein Du Quartier Prisé Du Cap Brun À Toulon,Toulon
1260000.0,150.0,8400.0,4.0,Appartement,Situé Au Sein Du Quartier Prisé Du Cap Brun À Toulon,Toulon
990000.0,117.0,8462.0,4.0,Appartement,Situé Au Sein Du Quartier Prisé Du Cap Brun À Toulon,Toulon
1090000.0,215.0,5070.0,6.0,Maison,Iad France - Audrey Pernet Vous Propose: Faron-Toulon-3 Chambres-Une Dependance-Garage-Piscine-Stationnement Un Écrin Suspendu Au-Dessus De La Rade,Toulon
169600.0,3.0,,3.0,Appartement,Toulon - Eliventis Vous Propose À La Vente Ce Bel Appartement T3 Traversant De 61 M². Dans Une Résidence Entretenue,Toulon
770000.0,265.0,5133.0,6.0,Maison,Érigée Sur Les Hauteurs Prisées Du Mont Faron À Toulon,Toulon
1190000.0,240.0,,6.0,Maison,Cap Brun,Toulon
625000.0,200.0,5208.0,5.0,Maison,Il Y A Des Maisons Qui S'Adaptent À La Vie De Famille,Toulon
254000.0,3.0,,3.0,Appartement,,Toulon
210000.0,68.0,,3.0,Appartement,83100 Toulon – Coup De Cœur En Exclusivité – T3 Lumineux Avec Grande Terrasse Plein Sud – Résidence Sécurisée – Parking Privatif Karim Bourdeche Et Efficity,Toulon
139500.0,37.0,,2.0,Appartement,Iad France - Audrey Pernet Vous Propose: Toulon-Place Darmes Appartement Cosy 2 Pièces -Entièrement Rénové Charmant Appartement Situé En Plein Coeur De Toulon,Toulon
190000.0,3.0,,3.0,Appartement,Valbertrand,Toulon
210000.0,80.0,,4.0,Maison,83200 Toulon - Quartier Boulevard Louis Picon - Maison Mitoyenne Avec Jardinet - A Visiter Sans Tarder Efficity,Toulon
178000.0,43.0,,2.0,Appartement,,Toulon
283000.0,62.0,,3.0,Appartement,Ddernier Etage Avec Belle Terrasse Au Calme,Toulon
199000.0,3.0,,2.0,Appartement,A Ne Pas Manquer - Retour De Lot - Toulon Est Votre Contact : Julie Devaux – Dans Une Résidence Sécurisée Et Intimiste De 3 Étages,Toulon
164000.0,48.0,,2.0,Appartement,Pour Toute Question Ou Demande D'Information,Toulon
199900.0,90.0,,4.0,Appartement,Beaulieu-Darboussèdes,Toulon
261000.0,3.0,,3.0,Appartement,Appartement Neuf T3 À Toulon – 60 M² – 1Er Étage Découvrez Ce Superbe Appartement T3 De 60 M² Situé Au 1Er Étage D'Une Résidence Neuve À Toulon,Toulon
3900000.0,266.0,14662.0,8.0,Maison,Villa Cap Sud Le Joyau Du Cap Brun À Toulon Nichée Sur Les Hauteurs Du Très Prisé Quartier Du Cap Brun,Toulon
584000.0,77.0,7578.0,3.0,,Cap Brun,Toulon
304000.0,58.0,5192.0,3.0,Appartement,La Palasse,Toulon
360000.0,65.0,5521.0,3.0,Appartement,La Palasse,Toulon
235400.0,54.0,,3.0,Appartement,Toulon Ecoquartier Font Pré - Label Biodivercity 3A,Toulon
410000.0,70.0,5803.0,3.0,Appartement,La Palasse,Toulon
420000.0,73.0,5757.0,3.0,Appartement,La Palasse,Toulon
375000.0,67.0,5597.0,3.0,Appartement,La Palasse,Toulon
498000.0,76.0,6523.0,4.0,Appartement,Votre Agence Century 21 La Valette Vous Propose Un Bien Rare À La Vente ! Toulon Est Quartier Prisé De La Pivotte Limitrophe À La Valette-Du-Var Dans Un Environnement Calme Et Recherché,Toulon
280000.0,360.0,,3.0,Appartement,,Toulon
276000.0,3.0,,3.0,Appartement,,Toulon
335000.0,84.0,,4.0,Appartement,Retour A La Vente Toulon Est Au Calme,Toulon
211000.0,45.0,,2.0,Appartement,,Toulon
340500.0,3.0,5121.0,3.0,Appartement,Temple,Toulon
399000.0,81.0,,4.0,Appartement,Mourillon-Centre,Toulon
161000.0,61.0,,3.0,Appartement,Iad France - Jean-Michel Py Vous Propose: Venez Découvrir Ce Bel Appartement T3 Superbement Rénové Et Joliment Meublé,Toulon
256250.0,3.0,,3.0,Appartement,Toulon // Appartement 3-4P / 70M2 / Parking / Terrasse Sud La Serinette-Le Cap Brun Situé Dans Une Résidence Sécurisée Avec Gardien,Toulon
198000.0,3.0,,3.0,Appartement,Temple,Toulon
295000.0,2.0,5566.0,2.0,Appartement,Découvrez Ce Superbe Appartement De 2 Pièces,Toulon
