id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2025-414228;10/01/2025;1;Vente;208000;291;;BD DELESCLUZE;2135;83200;83137;Toulon;83;;;83137000DI0520;;;2;;26;71;;;;;;;2;2;Appartement;71;3;;;;;;5.902529;43.137123
2025-414235;14/01/2025;1;Vente;70000;9001;;LE RICHELIEU;A209;83200;83137;Toulon;83;;;83137000CX0428;;;51;;64;44.37;;;;;;;2;2;Appartement;45;2;;;;;;5.912034;43.129956
2025-414245;16/01/2025;1;Vente;270000;14;;RUE PEYRE FERRY;5710;83000;83137;Toulon;83;;;83137000CY0152;;;;;;;;;;;;;0;2;Appartement;55;2;S;sols;;;196;5.920768;43.130616
2025-414245;16/01/2025;1;Vente;270000;14;;RUE PEYRE FERRY;5710;83000;83137;Toulon;83;;;83137000CY0152;;;;;;;;;;;;;0;2;Appartement;58;3;S;sols;;;196;5.920768;43.130616
2025-414245;16/01/2025;1;Vente;270000;14;;RUE PEYRE FERRY;5710;83000;83137;Toulon;83;;;83137000CY0152;;;;;;;;;;;;;0;2;Appartement;58;3;S;sols;;;196;5.920768;43.130616
2025-414247;23/01/2025;1;Vente;144870;352;;CHE DE LA CALADE;1135;83000;83137;Toulon;83;;;83137000BO0463;;;14;;32;31.6;;;;;;;2;2;Appartement;30;1;;;;;;5.96207;43.110813
2025-414250;08/01/2025;1;Vente;300000;249;;RUE ANDRE CHENIER;295;83100;83137;Toulon;83;;;83137000AS0797;;;;;;;;;;;;;0;1;Maison;100;3;S;sols;;;1000;5.960837;43.129704
2025-414250;08/01/2025;1;Vente;300000;249;;RUE ANDRE CHENIER;295;83100;83137;Toulon;83;;;83137000AS0797;;;;;;;;;;;;;0;1;Maison;100;3;AG;terrains d'agrément;;;1590;5.960837;43.129704
2025-414263;17/01/2025;1;Vente;70600;134;;AV GENERAL NOGUES;3305;83000;83137;Toulon;83;;;83137000CY0638;;;38;33.18;;;;;;;;;1;2;Appartement;33;2;;;;;;5.920252;43.127705
2025-414264;24/01/2025;1;Vente;272600;42;;RUE VICTOR CLAPPIER;7145;83000;83137;Toulon;83;;;83137000CK0068;;;11;85.85;;;;;;;;;1;2;Appartement;76;3;;;;;;5.93417;43.12575
2025-414266;23/01/2025;1;Vente;85000;627;;BD JEAN BAPTISTE ABEL;3815;83000;83137;Toulon;83;;;83137000BH0485;;;141;57.25;;;;;;;;;1;2;Appartement;57;2;;;;;;5.968886;43.117868
2025-414267;22/01/2025;1;Vente;91400;3;;RUE PIERRE SEMARD;5800;83000;83137;Toulon;83;;;83137000CN0063;;;2;28.14;;;;;;;;;1;2;Appartement;28;2;;;;;;5.929717;43.122857
2025-414269;23/01/2025;1;Vente;116220;11;;RUE BERTHELOT;850;83000;83137;Toulon;83;;;83137000CO0128;;;6;39.18;;;;;;;;;1;2;Appartement;45;2;;;;;;5.932939;43.123728
2025-414271;10/01/2025;1;Vente;150000;123;;AV DE LA VICTOIRE DU 8 5 1945;7135;83000;83137;Toulon;83;;;83137000AN0277;;;25;;;;;;;;;;1;2;Appartement;77;3;;;;;;5.928092;43.130689
2025-414275;23/01/2025;1;Vente;151000;44;;BD ROBESPIERRE;6265;83000;83137;Toulon;83;;;83137000CH0360;;;12;;;;;;;;;;1;2;Appartement;12;1;;;;;;5.948355;43.123907
2025-414275;23/01/2025;1;Vente;151000;44;;BD ROBESPIERRE;6265;83000;83137;Toulon;83;;;83137000CH0360;;;11;;;;;;;;;;1;2;Appartement;15;2;;;;;;5.948355;43.123907
2025-414279;10/01/2025;1;Vente;66080;26;;RUE CASTEL;1260;83000;83137;Toulon;83;;;83137000BV0585;;;1;;5;;;;;;;;2;2;Appartement;45;3;;;;;;5.939064;43.110801
2025-414284;16/01/2025;1;Vente;220000;1386;;AV DE LA RESISTANCE;6180;83000;83137;Toulon;83;;;83137000BO0003;;;13;;5;;;;;;;;2;2;Appartement;65;2;;;;;;5.960012;43.113557
2025-414287;13/01/2025;1;Vente;212500;395;;BD DOCTEUR CHARLES BARNIER;2245;83000;83137;Toulon;83;;;83137000AN0265;;;44;63.08;;;;;;;;;1;2;Appartement;62;3;;;;;;5.92801;43.132934
2025-414292;03/01/2025;1;Vente;133000;131;;BD DES ACACIAS;35;83100;83137;Toulon;83;;;83137000CH0119;;;112;35.81;;;;;;;;;1;2;Appartement;35;2;;;;;;5.95218;43.1253
2025-414294;03/01/2025;1;Vente;207950;92;;RUE LOUIS HENSELING;4630;83000;83137;Toulon;83;;;83137000BT0136;;;31;44.9;;;;;;;;;1;2;Appartement;49;2;;;;;;5.943589;43.111991
2025-414304;09/01/2025;1;Vente;281500;9004;;CHE DES MOINEAUX;5215;83000;83137;Toulon;83;;;83137000BN0119;;;137;73.76;;;;;;;;;1;2;Appartement;70;3;;;;;;5.961695;43.112709
2025-414311;07/01/2025;1;Vente;70000;7;;RUE AUGUSTIN DAUMAS;525;83000;83137;Toulon;83;;;83137000CN0377;;;4;35.7;9;;;;;;;;2;2;Appartement;39;1;;;;;;5.932678;43.122034
2025-414311;07/01/2025;1;Vente;70000;7;;RUE AUGUSTIN DAUMAS;525;83000;83137;Toulon;83;;;83137000CN0377;;;5;21.9;8;;;;;;;;2;2;Appartement;23;1;;;;;;5.932678;43.122034
2025-414311;07/01/2025;1;Vente;70000;7;;RUE AUGUSTIN DAUMAS;525;83000;83137;Toulon;83;;;83137000CN0377;;;7;;;;;;;;;;1;2;Appartement;42;1;;;;;;5.932678;43.122034
2025-414314;24/01/2025;1;Vente;82000;45;;RUE D ISLY;3735;83200;83137;Toulon;83;;;83137000CX0214;;;14;;7;48.45;;;;;;;2;2;Appartement;40;2;;;;;;5.914675;43.128957
