"Cat_energie","prix_du_bien","prix_m2","type_de_bien","nb_pièce","nb_chambre","superficie","quartier","css-0 3"
"D","599 000 €","5 651 €/m²","Villa à vendre","5 pièces","4 chambres","106 m²","Sainte Musse, La Garde (83130)",""
"E","260 000 €","4 063 €/m²","Appartement à vendre","3 pièces","2 chambres","64 m²","Toulon (83000)",""
"E","124 120 €","3 852 €/m²","Appartement à vendre","2 pièces","1 chambre","32,2 m²","Saint Roch, Toulon (83000)",""
"C","149 000 €","3 725 €/m²","Appartement à vendre","3 pièces","2 chambres","40 m²","Le Port, Toulon (83000)",""
"E","299 000 €","5 613 €/m²","Appartement à vendre","2 pièces","1 chambre","53,3 m²","Mourillon-Centre, Toulon (83000)","Nouveau"
"","249 000 €","2 767 €/m²","Appartement à vendre","5 pièces","1 chambre","90 m²","Trois Quartiers-Siblas, Toulon (83200)",""
"","4 500 000 €","8 182 €/m²","Villa à vendre","14 pièces","7 chambres","550 m²","Mourillon-Sud, Toulon (83000)","Nouveau"
"C","1 455 000 €","4 850 €/m²","Villa à vendre","9 pièces","5 chambres","300 m²","Cap Brun , Toulon (83000)",""
"D","385 000 €","4 140 €/m²","Maison à vendre","5 pièces","3 chambres","93 m²","Toulon (83000)","Nouveau"
"B","740 000 €","3 524 €/m²","Villa à vendre","5 pièces","5 chambres","210 m²","Toulon (83200)",""
"D","190 000 €","2 317 €/m²","Appartement à vendre","4 pièces","2 chambres","82 m²","Saint Roch, Toulon (83000)",""
"B","1 680 000 €","6 000 €/m²","Maison à vendre","8 pièces","5 chambres","280 m²","Toulon (83000)","Nouveau"
"B","202 000 €","3 483 €/m²","Appartement à vendre","3 pièces","2 chambres","58 m²","Toulon (83000)","Nouveau"
"D","169 000 €","3 073 €/m²","Appartement à vendre","3 pièces","2 chambres","55 m²","Toulon (83000)","Nouveau"
"D","155 000 €","2 411 €/m²","Appartement à vendre","3 pièces","2 chambres","64,3 m²","Toulon (83000)",""
"D","212 000 €","4 930 €/m²","Appartement à vendre","2 pièces","1 chambre","43 m²","Toulon (83100)","Nouveau"
"D","249 000 €","4 611 €/m²","Appartement à vendre","2 pièces","1 chambre","54 m²","Toulon (83000)","Nouveau"
"B","345 000 €","5 750 €/m²","Appartement à vendre","3 pièces","2 chambres","60 m²","Toulon (83000)","Nouveau"
"D","165 000 €","2 965 €/m²","Appartement à vendre","3 pièces","2 chambres","55,7 m²","Toulon (83000)",""
"D","480 000 €","6 486 €/m²","Maison de plain-pied à vendre","3 pièces","2 chambres","74 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"C","260 000 €","3 059 €/m²","Appartement à vendre","4 pièces","2 chambres","85 m²","Les Routes, Toulon (83200)",""
"C","560 000 €","4 254 €/m²","Maison à vendre","5 pièces","4 chambres","131,6 m²","Toulon (83000)",""
"D","498 000 €","5 134 €/m²","Appartement à vendre","4 pièces","2 chambres","97 m²","Place d'Armes, Toulon (83000)",""
"E","2 290 000 €","7 842 €/m²","Maison à vendre","11 pièces","8 chambres","292 m²","Notre Dame des Routes, Toulon (83000)",""
"F","135 000 €","2 813 €/m²","Appartement à vendre","2 pièces","1 chambre","48 m²","Saint Roch, Toulon (83000)",""
"C","115 000 €","5 227 €/m²","Appartement à vendre","1 pièce","22 m²","RDC/3","Saint Roch, Toulon (83000)",""
"E","119 000 €","4 958 €/m²","Appartement à vendre","1 pièce","24 m²","Étage 2/2","Mourillon-Centre, Toulon (83000)",""
"D","210 000 €","3 043 €/m²","Appartement à vendre","3 pièces","2 chambres","69 m²","Beaulieu-Darboussèdes, Toulon (83100)",""
"D","398 000 €","5 103 €/m²","Maison à vendre","4 pièces","2 chambres","78 m²","Dardenne Hubac-Les Favières, Toulon (83200)",""
"C","175 000 €","3 125 €/m²","Appartement à vendre","3 pièces","2 chambres","56 m²","Saint Jean du Var, Toulon (83100)",""
"E","295 000 €","4 403 €/m²","Appartement à vendre","4 pièces","2 chambres","67 m²","Mourillon-Sud, Toulon (83000)",""
"C","359 000 €","3 264 €/m²","Appartement à vendre","4 pièces","3 chambres","110 m²","Saint Roch, Toulon (83200)",""
"B","1 090 000 €","5 142 €/m²","Appartement à vendre","5 pièces","3 chambres","212 m²","Toulon (83000)",""
"C","359 000 €","3 264 €/m²","Maison à vendre","4 pièces","3 chambres","110 m²","Saint Roch, Toulon (83200)",""
"C","154 900 €","3 778 €/m²","Appartement à vendre","2 pièces","1 chambre","41 m²","Aguillon, Toulon (83000)",""
"C","429 000 €","3 250 €/m²","Appartement à vendre","4 pièces","3 chambres","132 m²","Puget-Théâtre, Toulon (83000)",""
"D","130 000 €","2 600 €/m²","Appartement à vendre","3 pièces","2 chambres","50 m²","Temple, Toulon (83200)",""
"C","345 000 €","2 717 €/m²","Appartement à vendre","6 pièces","4 chambres","127 m²","Super-Toulon, Toulon (83000)",""
"C","274 000 €","3 341 €/m²","Appartement à vendre","5 pièces","3 chambres","82 m²","La Serinette, Toulon (83000)",""
"A","223 000 €","4 956 €/m²","Appartement à vendre","2 pièces","1 chambre","45 m²","Toulon (83200)",""
"B","219 000 €","3 650 €/m²","Appartement à vendre","3 pièces","2 chambres","60 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"D","291 000 €","2 910 €/m²","Appartement à vendre","5 pièces","3 chambres","100 m²","Champ de Mars, Toulon (83000)",""
"D","249 000 €","2 490 €/m²","Appartement à vendre","5 pièces","3 chambres","100 m²","Champ de Mars, Toulon (83000)",""
"C","155 000 €","2 500 €/m²","Appartement à vendre","3 pièces","1 chambre","62 m²","Saint Roch, Toulon (83000)",""
"C","560 000 €","4 179 €/m²","Maison à vendre","5 pièces","4 chambres","134 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"C","950 000 €","6 333 €/m²","Maison à vendre","5 pièces","3 chambres","150 m²","Cap Brun , Toulon (83000)",""
"D","1 490 000 €","9 739 €/m²","Appartement à vendre","5 pièces","3 chambres","153 m²","Toulon (83000)",""
"D","95 000 €","2 794 €/m²","Appartement à vendre","1 pièce","34 m²","Étage 4/5","Cathedrale, Toulon (83000)",""
"C","315 000 €","3 500 €/m²","Appartement à vendre","4 pièces","3 chambres","90 m²","Les Ameniers, Toulon (83000)",""
"C","583 000 €","5 252 €/m²","Maison à vendre","5 pièces","4 chambres","111 m²","Notre Dame des Routes, Toulon (83200)",""
"","567 000 €","6 385 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","88,8 m²","Les Ameniers, Toulon (83100)",""
"","547 000 €","6 085 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","89,9 m²","Les Ameniers, Toulon (83100)",""
"","582 000 €","6 503 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","89,5 m²","Les Ameniers, Toulon (83100)",""
"D","880 000 €","4 231 €/m²","Villa à vendre","7 pièces","5 chambres","208 m²","Claret, Toulon (83100)",""
"C","390 000 €","4 699 €/m²","Maison de plain-pied à vendre","3 pièces","2 chambres","83 m²","Beaulieu-Darboussèdes, Toulon (83100)",""
"","489 000 €","5 147 €/m²","Duplex à vendre","4 pièces","3 chambres","95 m²","Aguillon, Toulon (83000)",""
"","570 000 €","7 403 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","77 m²","Cap Brun , Toulon (83000)",""
"D","498 000 €","5 134 €/m²","Appartement à vendre","4 pièces","2 chambres","97 m²","Toulon (83000)","Nouveau"
"E","89 000 €","2 115 €/m²","Appartement en viager","2 pièces","1 chambre","42,1 m²","Toulon (83100)","Nouveau"
"D","655 000 €","5 458 €/m²","Maison à vendre","5 pièces","3 chambres","120 m²","Toulon (83100)","Nouveau"
"","990 000 €","8 390 €/m²","Appartement à vendre - neuf","4 pièces","3 chambres","118 m²","Puget-Théâtre, Toulon (83000)","Nouveau"
"C","192 000 €","4 344 €/m²","Appartement à vendre","2 pièces","1 chambre","44,2 m²","Toulon (83100)","Nouveau"
"D","835 000 €","4 970 €/m²","Maison à vendre","6 pièces","3 chambres","168 m²","Mourillon-Sud, Toulon (83000)",""
"C","275 000 €","6 250 €/m²","Appartement à vendre","2 pièces","1 chambre","44 m²","Place d'Armes, Toulon (83000)",""
"","232 038 €","5 274 €/m²","Appartement à vendre - neuf","2 pièces","44 m²","","La Roseraie, Toulon (83100)",""
"A","680 000 €","4 533 €/m²","Maison à vendre","5 pièces","4 chambres","150 m²","Pont de Suve-Collet de Gipon, Toulon (83100)",""
"C","247 000 €","3 003 €/m²","Appartement à vendre","3 pièces","2 chambres","82,3 m²","Aguillon, Toulon (83000)",""
"B","308 000 €","5 600 €/m²","Maison de ville à vendre","2 pièces","1 chambre","55 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"C","594 000 €","3 494 €/m²","Maison à vendre","6 pièces","3 chambres","170 m²","Notre Dame des Routes, Toulon (83200)",""
"","552 000 €","5 685 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","97,1 m²","Les Ameniers, Toulon (83100)",""
"","532 000 €","6 108 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","87,1 m²","Les Ameniers, Toulon (83100)",""
"","562 000 €","6 482 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","86,7 m²","Les Ameniers, Toulon (83100)",""
"","522 000 €","6 178 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","84,5 m²","Les Ameniers, Toulon (83100)",""
"","532 000 €","6 108 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","87,1 m²","Les Ameniers, Toulon (83100)",""
"B","1 150 000 €","5 750 €/m²","Villa à vendre","6 pièces","5 chambres","200 m²","Le Faron-Fort-Rouge, Toulon (83200)",""
"C","465 000 €","4 794 €/m²","Appartement à vendre","4 pièces","3 chambres","97 m²","La Serinette, Toulon (83000)",""
"B","1 150 000 €","5 750 €/m²","Maison à vendre","6 pièces","5 chambres","200 m²","Toulon (83200)","Nouveau"
"D","129 000 €","3 146 €/m²","Appartement à vendre","2 pièces","1 chambre","41 m²","Toulon (83000)",""
"","299 147 €","4 602 €/m²","Appartement à vendre - neuf","3 pièces","65 m²","","La Roseraie, Toulon (83100)",""
"D","199 000 €","2 067 €/m²","Appartement à vendre","4 pièces","2 chambres","96,3 m²","Place d'Armes, Toulon (83000)",""
"E","129 000 €","2 580 €/m²","Appartement à vendre","2 pièces","1 chambre","50 m²","Saint Roch, Toulon (83000)",""
"E","770 000 €","5 133 €/m²","Maison à vendre","5 pièces","3 chambres","150 m²","Toulon (83200)",""
"C","Bouquet 48 600 €","et 530 €/mois","Appartement en viager · occupé","2 pièces","1 chambre","47 m²","Trois Quartiers-Siblas, Toulon (83000)","Nouveau"
"","349 000 €","4 986 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","70 m²","Cap Brun , Toulon (83000)","Nouveau"
"","275 324 €","7 866 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","35 m²","Puget-Théâtre, Toulon (83000)","Nouveau"
"C","540 000 €","2 813 €/m²","Appartement à vendre","7 pièces","5 chambres","192 m²","Puget-Théâtre, Toulon (83)","Nouveau"
"D","1 290 000 €","6 143 €/m²","Demeure à vendre","9 pièces","6 chambres","210 m²","Mourillon-Centre, Toulon (83000)",""
"C","199 900 €","2 798 €/m²","Appartement à vendre","3 pièces","2 chambres","71,5 m²","Toulon (83000)",""
"B","209 000 €","3 215 €/m²","Appartement à vendre","3 pièces","1 chambre","65 m²","Pont-du-Las, Toulon (83200)",""
"C","307 000 €","3 925 €/m²","Appartement à vendre","4 pièces","3 chambres","78,2 m²","Toulon (83000)",""
"C","364 000 €","2 789 €/m²","Maison à vendre","6 pièces","4 chambres","130,5 m²","Temple, Toulon (83200)",""
"C","690 000 €","5 074 €/m²","Maison à vendre","6 pièces","3 chambres","136 m²","Cap Brun , Toulon (83000)",""
"C","125 000 €","2 678 €/m²","Appartement à vendre","2 pièces","1 chambre","46,7 m²","Toulon (83000)",""
"D","227 000 €","3 110 €/m²","Appartement à vendre","4 pièces","3 chambres","73 m²","Super-Toulon, Toulon (83000)",""
"C","925 000 €","6 379 €/m²","Maison à vendre","5 pièces","2 chambres","145 m²","Cap Brun , Toulon (83000)",""
"C","680 000 €","5 231 €/m²","Maison à vendre","5 pièces","4 chambres","130 m²","Toulon (83200)",""
"C","370 000 €","4 302 €/m²","Appartement à vendre","3 pièces","2 chambres","86 m²","Toulon (83000)",""
"D","119 900 €","1 911 €/m²","Appartement à vendre","3 pièces","2 chambres","62,7 m²","Toulon (83000)",""
"C","344 500 €","4 325 €/m²","Appartement à vendre","4 pièces","2 chambres","79,7 m²","Toulon (83000)","Nouveau"
"A","430 000 €","5 059 €/m²","Maison à vendre","4 pièces","3 chambres","85 m²","Toulon (83200)","Nouveau"
"D","236 000 €","3 251 €/m²","Appartement à vendre","4 pièces","3 chambres","72,6 m²","Toulon (83000)","Nouveau"
"B","620 000 €","6 596 €/m²","Maison de plain-pied à vendre","4 pièces","3 chambres","94 m²","Cap Brun , Toulon (83000)",""
"","642 000 €","6 978 €/m²","Maison à vendre - neuf","4 pièces","3 chambres","92 m²","Puget-Théâtre, Toulon (83000)","Nouveau"
"","189 000 €","4 846 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","39 m²","Puget-Théâtre, Toulon (83000)","Nouveau"
"C","480 000 €","4 948 €/m²","Appartement à vendre","3 pièces","2 chambres","97 m²","Le Faron-Fort-Rouge, Toulon (83200)",""
"D","100 000 €","1 667 €/m²","Appartement à vendre","3 pièces","2 chambres","60 m²","Toulon (83200)",""
"D","165 000 €","2 895 €/m²","Appartement à vendre","4 pièces","3 chambres","57 m²","Champ de Mars, Toulon (83000)",""
"D","187 000 €","2 636 €/m²","Appartement à vendre","4 pièces","3 chambres","71 m²","Brunet, Toulon (83000)",""
"C","275 000 €","4 583 €/m²","Appartement à vendre","2 pièces","1 chambre","60 m²","Mourillon-Centre, Toulon (83000)",""
"A","315 000 €","6 563 €/m²","Appartement à vendre","2 pièces","1 chambre","48 m²","Cap Brun , Toulon (83000)",""
"D","180 000 €","2 169 €/m²","Appartement à vendre","4 pièces","3 chambres","83 m²","Saint Roch, Toulon (83200)",""
"","522 000 €","6 178 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","84,5 m²","Les Ameniers, Toulon (83100)",""
"B","1 680 000 €","6 000 €/m²","Maison à vendre","7 pièces","6 chambres","280 m²","Cap Brun , Toulon (83000)",""
"C","261 000 €","6 525 €/m²","Appartement à vendre","2 pièces","1 chambre","40 m²","Place d'Armes, Toulon (83000)",""
"B","630 000 €","6 176 €/m²","Maison à vendre","5 pièces","3 chambres","102 m²","Notre Dame des Routes, Toulon (83200)",""
"C","550 000 €","3 618 €/m²","Appartement à vendre","4 pièces","3 chambres","152 m²","Place d'Armes, Toulon (83000)",""
"D","525 000 €","2 625 €/m²","Maison à vendre","9 pièces","6 chambres","200 m²","Place d'Armes, Toulon (83000)",""
"B","274 000 €","4 268 €/m²","Duplex à vendre","3 pièces","2 chambres","64,2 m²","Toulon (83200)","Nouveau"
"C","840 000 €","3 231 €/m²","Maison à vendre","8 pièces","10 chambres","260 m²","Toulon (83200)","Nouveau"
"F","92 000 €","2 300 €/m²","Appartement à vendre","2 pièces","1 chambre","40 m²","Toulon (83100)","Nouveau"
"D","599 000 €","6 305 €/m²","Appartement à vendre","4 pièces","3 chambres","95 m²","Toulon (83000)","Nouveau"
"F","124 000 €","2 420 €/m²","Appartement à vendre","3 pièces","2 chambres","51,3 m²","Toulon (83200)","Nouveau"
"E","127 000 €","2 442 €/m²","Appartement à vendre","3 pièces","2 chambres","52 m²","Toulon (83100)","Nouveau"
"C","152 000 €","3 040 €/m²","Appartement à vendre","2 pièces","1 chambre","50 m²","Toulon (83200)","Nouveau"
"B","174 900 €","2 291 €/m²","Appartement à vendre","3 pièces","2 chambres","76,3 m²","Toulon (83000)",""
"A","235 000 €","3 983 €/m²","Appartement à vendre","3 pièces","2 chambres","59 m²","La Roseraie, Toulon (83100)",""
"A","3 620 000 €","28 960 €/m²","Maison à vendre","7 pièces","5 chambres","125 m²","Toulon (83000)","Nouveau"
"D","319 000 €","4 038 €/m²","Maison à vendre","4 pièces","2 chambres","79 m²","Beaulieu-Darboussèdes, Toulon (83100)",""
"C","750 000 €","5 556 €/m²","Maison à vendre","5 pièces","3 chambres","135 m²","Toulon (83000)",""
"C","599 000 €","4 608 €/m²","Maison à vendre","6 pièces","4 chambres","130 m²","Le Faron-Fort-Rouge, Toulon (83100)",""
"E","436 000 €","3 406 €/m²","Appartement à vendre","5 pièces","3 chambres","128 m²","Place d'Armes, Toulon (83000)",""
"B","749 000 €","5 467 €/m²","Maison à vendre","4 pièces","3 chambres","137 m²","Notre Dame des Routes, Toulon (83200)",""
"C","449 000 €","5 282 €/m²","Appartement à vendre","4 pièces","3 chambres","85 m²","Les Ameniers, Toulon (83000)",""
"A","395 789 €","4 656 €/m²","Terrain avec maison neuve à vendre","4 pièces","3 chambres","85 m²","La Serinette, Toulon (83000)",""
"E","321 000 €","10 190 €/m²","Appartement à vendre","2 pièces","1 chambre","31,5 m²","Puget-Théâtre, Toulon (83000)",""
"C","205 000 €","3 306 €/m²","Duplex à vendre","3 pièces","2 chambres","62 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"D","184 000 €","3 345 €/m²","Appartement à vendre","3 pièces","2 chambres","55 m²","Les Routes, Toulon (83200)",""
"A","385 000 €","4 529 €/m²","Terrain avec maison neuve à vendre","4 pièces","3 chambres","85 m²","Aguillon, Toulon (83000)",""
"D","119 000 €","2 471 €/m²","Appartement à vendre","2 pièces","1 chambre","48,2 m²","Toulon (83100)","Nouveau"
"C","139 000 €","3 475 €/m²","Appartement à vendre","2 pièces","1 chambre","40 m²","Temple, Toulon (83200)",""
"E","275 000 €","3 292 €/m²","Appartement à vendre","3 pièces","2 chambres","83,5 m²","La Serinette, Toulon (83000)",""
"D","145 000 €","2 293 €/m²","Appartement à vendre","2 pièces","1 chambre","63,2 m²","Toulon (83000)",""
"B","825 000 €","5 139 €/m²","Villa à vendre","6 pièces","4 chambres","160,6 m²","Toulon (83200)",""
"D","189 000 €","2 821 €/m²","Appartement à vendre","2 pièces","1 chambre","67 m²","Toulon (83000)",""
"E","630 000 €","4 038 €/m²","Villa à vendre","7 pièces","5 chambres","156 m²","Notre Dame des Routes, Toulon (83200)",""
"C","129 500 €","1 775 €/m²","Appartement à vendre","3 pièces","2 chambres","73 m²","Toulon (83200)",""
"C","310 000 €","2 870 €/m²","Appartement à vendre","5 pièces","3 chambres","108 m²","Place d'Armes, Toulon (83000)",""
"A","459 800 €","4 598 €/m²","Terrain avec maison neuve à vendre","3 pièces","4 chambres","100 m²","La Serinette, Toulon (83000)",""
"C","140 000 €","4 516 €/m²","Appartement à vendre","1 pièce","31 m²","Étage 12/13","La Rode, Toulon (83000)",""
"A","2 845 000 €","","Maison à vendre - Première occupation","5 pièces","4 chambres","471 m² de terrain","Cap Brun , Toulon (83000)",""
"C","1 144 000 €","3 178 €/m²","Maison à vendre","15 pièces","9 chambres","360 m²","Toulon (83000)",""
"C","536 000 €","8 121 €/m²","Appartement à vendre","3 pièces","2 chambres","66 m²","Cap Brun , Toulon (83000)",""
"C","399 000 €","5 392 €/m²","Appartement à vendre","3 pièces","2 chambres","74 m²","Place d'Armes, Toulon (83000)",""
"C","158 000 €","2 431 €/m²","Appartement à vendre","3 pièces","2 chambres","65 m²","Temple, Toulon (83200)",""
"C","1 200 000 €","8 276 €/m²","Villa à vendre","5 pièces","3 chambres","145 m²","Mourillon-Centre, Toulon (83000)",""
"B","187 000 €","4 675 €/m²","Appartement à vendre","2 pièces","1 chambre","40 m²","Notre Dame des Routes, Toulon (83200)",""
"D","290 000 €","3 919 €/m²","Appartement à vendre","3 pièces","1 chambre","74 m²","Toulon (83000)","Nouveau"
"E","146 000 €","2 179 €/m²","Appartement à vendre","3 pièces","2 chambres","67 m²","Champ de Mars, Toulon (83000)",""
"E","255 000 €","2 931 €/m²","Appartement à vendre","5 pièces","3 chambres","87 m²","Puget-Théâtre, Toulon (83000)",""
"C","87 000 €","3 480 €/m²","Appartement à vendre","1 pièce","25 m²","Étage 1/3","La Roseraie, Toulon (83100)",""
"D","115 000 €","2 264 €/m²","Appartement à vendre","2 pièces","1 chambre","50,8 m²","Toulon (83200)",""
"C","200 000 €","5 000 €/m²","Appartement à vendre","2 pièces","1 chambre","40 m²","Toulon (83100)","Nouveau"
"D","265 000 €","2 880 €/m²","Appartement à vendre","4 pièces","3 chambres","92 m²","Toulon (83200)",""
"D","149 000 €","2 129 €/m²","Appartement à vendre","4 pièces","3 chambres","70 m²","Pont-du-Las, Toulon (83200)",""
"","473 900 €","4 157 €/m²","Appartement à vendre - neuf","4 pièces","3 chambres","114 m²","Aguillon, Toulon (83000)",""
"","584 000 €","7 584 €/m²","Duplex à vendre - neuf","3 pièces","2 chambres","77 m²","Cap Brun , Toulon (83000)",""
"","1 266 000 €","8 612 €/m²","Appartement à vendre - neuf","4 pièces","3 chambres","147 m²","Cap Brun , Toulon (83000)",""
"","668 592 €","8 055 €/m²","Appartement à vendre - neuf","4 pièces","3 chambres","83 m²","Cap Brun , Toulon (83000)",""
"C","96 000 €","4 174 €/m²","Appartement à vendre","1 pièce","23 m²","1er étage","Toulon (83000)",""
"A","779 900 €","6 445 €/m²","Maison à vendre","5 pièces","3 chambres","121 m²","Toulon (83200)","Nouveau"
"C","212 000 €","4 818 €/m²","Appartement à vendre","2 pièces","1 chambre","44 m²","Toulon (83100)","Nouveau"
"D","220 000 €","2 444 €/m²","Appartement à vendre","3 pièces","2 chambres","90 m²","Beaulieu-Darboussèdes, Toulon (83100)",""
"E","499 000 €","4 158 €/m²","Maison à vendre","5 pièces","5 chambres","120 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"C","155 000 €","4 079 €/m²","Appartement à vendre","2 pièces","1 chambre","38 m²","Valbertrand, Toulon (83200)",""
"C","270 000 €","2 842 €/m²","Villa à vendre","4 pièces","2 chambres","95 m²","Temple, Toulon (83200)",""
"B","219 000 €","3 318 €/m²","Appartement à vendre","3 pièces","2 chambres","66 m²","Saint Jean du Var, Toulon (83100)",""
"B","880 000 €","7 333 €/m²","Maison de ville à vendre","5 pièces","3 chambres","120 m²","Mourillon-Centre, Toulon (83000)",""
"D","229 000 €","5 725 €/m²","Appartement à vendre","2 pièces","1 chambre","40 m²","Super-Toulon, Toulon (83000)",""
"D","245 000 €","3 403 €/m²","Appartement à vendre","3 pièces","2 chambres","72 m²","La Serinette, Toulon (83000)",""
"C","168 000 €","2 710 €/m²","Appartement à vendre","2 pièces","1 chambre","62 m²","Place d'Armes, Toulon (83000)",""
"D","149 000 €","2 396 €/m²","Appartement à vendre","3 pièces","2 chambres","62,2 m²","Saint Jean du Var, Toulon (83100)",""
"D","815 000 €","4 657 €/m²","Maison à vendre","6 pièces","5 chambres","175 m²","Beaulieu-Darboussèdes, Toulon (83100)",""
"D","273 000 €","3 845 €/m²","Appartement à vendre","4 pièces","2 chambres","71 m²","Port de Plaisance, Toulon (83000)",""
"D","295 000 €","4 214 €/m²","Appartement à vendre","3 pièces","2 chambres","70 m²","Toulon (83000)",""
"D","259 000 €","2 056 €/m²","Appartement à vendre","5 pièces","3 chambres","126 m²","Super-Toulon, Toulon (83000)",""
"D","316 000 €","4 329 €/m²","Appartement à vendre","3 pièces","2 chambres","73 m²","Super-Toulon, Toulon (83000)",""
"D","316 000 €","4 270 €/m²","Appartement à vendre","3 pièces","2 chambres","74 m²","Super-Toulon, Toulon (83000)",""
"C","369 000 €","4 731 €/m²","Appartement à vendre","4 pièces","3 chambres","78 m²","Toulon (83000)",""
"F","197 950 €","2 639 €/m²","Appartement à vendre","4 pièces","2 chambres","75 m²","Toulon (83200)","Nouveau"
"D","480 000 €","","Maison à vendre","5 pièces","4 chambres","815 m² de terrain","Toulon (83200)",""
"A","397 000 €","4 051 €/m²","Terrain avec maison neuve à vendre","5 pièces","3 chambres","98 m²","Aguillon, Toulon (83000)",""
"B","300 000 €","2 885 €/m²","Appartement à vendre","5 pièces","3 chambres","104 m²","Super-Toulon, Toulon (83000)","Nouveau"
"A","1 260 000 €","7 590 €/m²","Villa à vendre","7 pièces","3 chambres","166 m²","La Garde (83130)",""
"","459 000 €","6 465 €/m²","Duplex à vendre","4 pièces","3 chambres","71 m²","Toulon (83100)",""
"F","180 000 €","4 865 €/m²","Appartement à vendre","2 pièces","1 chambre","37 m²","Mourillon-Sud, Toulon (83000)",""
"C","189 000 €","2 700 €/m²","Appartement à vendre","4 pièces","2 chambres","70 m²","Toulon (83200)","Nouveau"
"B","348 500 €","4 104 €/m²","Appartement à vendre","5 pièces","3 chambres","84,9 m²","Toulon (83000)","Nouveau"
"D","184 000 €","8 000 €/m²","Appartement à vendre","1 pièce","23 m²","1er étage","Toulon (83000)","Nouveau"
"D","229 000 €","5 771 €/m²","Appartement à vendre","2 pièces","1 chambre","39,7 m²","Toulon (83200)","Nouveau"
"D","449 000 €","3 805 €/m²","Appartement à vendre","5 pièces","4 chambres","118 m²","Toulon (83100)","Nouveau"
"C","199 000 €","4 980 €/m²","Appartement à vendre","2 pièces","1 chambre","40 m²","Toulon (83200)","Nouveau"
"C","129 000 €","4 418 €/m²","Appartement à vendre","2 pièces","1 chambre","29,2 m²","Toulon (83200)","Nouveau"
"C","247 000 €","3 687 €/m²","Appartement à vendre","4 pièces","67 m²","RDC","Toulon (83200)","Nouveau"
"","275 746 €","7 878 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","35 m²","Puget-Théâtre, Toulon (83000)","Nouveau"
"D","510 000 €","3 696 €/m²","Maison à vendre","4 pièces","3 chambres","138 m²","Toulon (83000)",""
"C","170 000 €","2 698 €/m²","Appartement à vendre","4 pièces","3 chambres","63 m²","Toulon (83000)",""
"A","211 000 €","3 403 €/m²","Appartement à vendre","3 pièces","2 chambres","62 m²","Toulon (83000)",""
"C","155 000 €","3 298 €/m²","Appartement à vendre","2 pièces","1 chambre","47 m²","Toulon (83200)",""
"E","154 900 €","2 312 €/m²","Appartement à vendre","4 pièces","3 chambres","67 m²","Toulon (83000)",""
"E","86 000 €","2 529 €/m²","Appartement à vendre","1 pièce","34 m²","Étage 3/3","Saint Roch, Toulon (83200)",""
"","600 000 €","4 286 €/m²","Duplex à vendre","7 pièces","5 chambres","140 m²","Puget-Théâtre, Toulon (83000)",""
"C","203 000 €","2 671 €/m²","Appartement à vendre","4 pièces","3 chambres","76 m²","Saint Roch, Toulon (83000)",""
"E","229 500 €","3 425 €/m²","Appartement à vendre","4 pièces","3 chambres","67 m²","Claret, Toulon (83000)",""
"A","1 250 000 €","6 944 €/m²","Maison à vendre","5 pièces","3 chambres","180 m²","Toulon (83100)",""
"E","332 000 €","3 408 €/m²","Maison de ville à vendre","4 pièces","3 chambres","97,4 m²","La Roseraie, Toulon (83100)",""
"A","425 000 €","5 247 €/m²","Villa à vendre","4 pièces","3 chambres","81 m²","Valbertrand, Toulon (83200)",""
"C","267 750 €","3 201 €/m²","Appartement à vendre","4 pièces","3 chambres","83,6 m²","Brunet, Toulon (83100)",""
"C","138 000 €","2 706 €/m²","Appartement à vendre","2 pièces","1 chambre","51 m²","Toulon (83000)",""
"","522 013 €","8 156 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","64 m²","Cap Brun , Toulon (83000)",""
"D","190 000 €","2 676 €/m²","Appartement à vendre","3 pièces","2 chambres","71 m²","Toulon (83200)","Nouveau"
"D","169 600 €","2 827 €/m²","Appartement à vendre","3 pièces","2 chambres","60 m²","Saint Jean du Var, Toulon (83100)",""
"B","218 000 €","","Appartement à vendre","4 pièces","2 chambres","Étage 2/4","Super-Toulon, Toulon (83000)",""
"D","180 000 €","2 143 €/m²","Appartement à vendre","3 pièces","2 chambres","84 m²","Toulon (83200)",""
