"Cat_energie","prix_du_bien","prix_m2","type_de_bien","nb_pièce","nb_chambre","superficie","quartier","css-0 3"
"C","233 000 €","2 807 €/m²","Appartement à vendre","3 pièces","2 chambres","83 m²","Toulon (83100)",""
"B","Bouquet 72 500 €","et 737 €/mois","Appartement en viager · occupé","3 pièces","2 chambres","67,5 m²","Place d'Armes, Toulon (83000)",""
"D","460 000 €","3 651 €/m²","Appartement à vendre","4 pièces","3 chambres","126 m²","Toulon (83000)",""
"","192 500 €","1 540 €/m²","Appartement à vendre","2 pièces","1 chambre","125 m²","Toulon (83200)",""
"C","530 000 €","3 926 €/m²","Villa à vendre","6 pièces","3 chambres","135 m²","Valbertrand, Toulon (83200)",""
"B","745 000 €","4 257 €/m²","Villa à vendre","6 pièces","4 chambres","175 m²","Beaulieu-Darboussèdes, Toulon (83100)",""
"C","655 000 €","5 240 €/m²","Maison à vendre","6 pièces","4 chambres","125 m²","Toulon (83000)",""
"E","130 000 €","6 842 €/m²","Appartement à vendre","1 pièce","19 m²","RDC/2","Toulon (83000)",""
"","215 000 €","4 300 €/m²","Appartement à vendre","2 pièces","1 chambre","50 m²","Toulon (83000)",""
"D","256 000 €","2 048 €/m²","Appartement à vendre - Première occupation","4 pièces","3 chambres","125 m²","Super-Toulon, Toulon (83000)",""
"D","694 000 €","4 922 €/m²","Villa à vendre","5 pièces","4 chambres","141 m²","Notre Dame des Routes, Toulon (83200)",""
"C","550 000 €","3 618 €/m²","Appartement à vendre","5 pièces","2 chambres","152 m²","Place d'Armes, Toulon (83000)",""
"D","144 000 €","2 118 €/m²","Appartement à vendre","4 pièces","2 chambres","68 m²","Champ de Mars, Toulon (83000)",""
"C","545 000 €","5 737 €/m²","Villa à vendre","4 pièces","3 chambres","95 m²","Toulon (83200)",""
"D","145 000 €","2 101 €/m²","Appartement à vendre","3 pièces","2 chambres","69 m²","Toulon (83000)",""
"C","165 000 €","2 357 €/m²","Appartement à vendre","4 pièces","2 chambres","70 m²","Toulon (83100)",""
"","165 000 €","2 750 €/m²","Appartement à vendre - Première occupation","3 pièces","2 chambres","60 m²","Champ de Mars, Toulon (83000)",""
"C","290 000 €","3 718 €/m²","Appartement à vendre","4 pièces","2 chambres","78 m²","Port de Plaisance, Toulon (83000)",""
"D","145 000 €","2 900 €/m²","Appartement à vendre","2 pièces","1 chambre","50 m²","Toulon (83000)",""
"D","225 000 €","2 885 €/m²","Appartement à vendre","4 pièces","2 chambres","78 m²","Toulon (83100)",""
"D","199 900 €","2 897 €/m²","Appartement à vendre","4 pièces","3 chambres","69 m²","Les Routes, Toulon (83200)",""
"D","190 000 €","2 209 €/m²","Appartement à vendre","3 pièces","2 chambres","86 m²","Toulon (83000)",""
"C","198 000 €","3 667 €/m²","Appartement à vendre","3 pièces","2 chambres","54 m²","Champ de Mars, Toulon (83000)",""
"E","85 000 €","2 300 €/m²","Appartement à vendre","2 pièces","1 chambre","37 m²","Toulon (83100)",""
"D","120 000 €","1 806 €/m²","Appartement à vendre","3 pièces","2 chambres","66,5 m²","Toulon (83100)",""
"F","87 200 €","3 007 €/m²","Appartement à vendre","1 pièce","29 m²","Étage 1/12","Toulon (83000)",""
"","169 000 €","3 130 €/m²","Appartement à vendre","3 pièces","2 chambres","54 m²","Mourillon-Sud, Toulon (83000)",""
"C","149 000 €","2 099 €/m²","Appartement à vendre","3 pièces","2 chambres","71 m²","Toulon (83200)",""
