prix,surface,prix_m2,nb_pieces,type,quartier,energie,ville
180000.0,37.0,4865.0,2.0,Appartement,Place D'Armes,D,Toulon
2496000.0,310.2,8048.0,9.0,Maison,Mourillon-Sud,C,Toulon
160000.0,55.0,2909.0,2.0,Appartement,Centre-Ville,E,Toulon
120000.0,53.0,2264.0,3.0,Appartement,Centre-Ville,D,Toulon
223000.0,78.2,2852.0,4.0,Appartement,Centre-Ville,C,Toulon
124000.0,66.0,1879.0,4.0,Appartement,Centre-Ville,D,Toulon
164000.0,47.0,3489.0,2.0,Appartement,Centre-Ville,B,Toulon
1900000.0,200.0,9500.0,7.0,Maison,Centre-Ville,C,Toulon
325000.0,110.0,2955.0,6.0,Maison,Centre-Ville,A,Toulon
937900.0,201.0,4666.0,11.0,Maison,Trois Quartiers-Siblas,D,Toulon
521880.0,185.0,,6.0,Maison,Les Ameniers,C,Toulon
795000.0,207.0,3841.0,7.0,Maison,Valbertrand,C,Toulon
210000.0,66.0,3182.0,3.0,Appartement,La Roseraie,C,Toulon
310000.0,107.1,2895.0,5.0,Appartement,Centre-Ville,C,Toulon
1290000.0,220.0,5864.0,8.0,Maison,Mourillon-Centre,B,Toulon
108000.0,52.0,2077.0,2.0,Appartement,Champ De Mars,D,Toulon
130000.0,33.0,3939.0,2.0,Appartement,Cathedrale,C,Toulon
257250.0,57.0,4513.0,3.0,Appartement,Barbès-Valbourdin,C,Toulon
139000.0,57.4,2422.0,3.0,Appartement,Centre-Ville,C,Toulon
939000.0,223.0,4211.0,7.0,Maison,La Serinette,A,Toulon
148000.0,62.0,2387.0,3.0,Appartement,Centre-Ville,D,Toulon
98000.0,3.0,4083.0,1.0,Appartement,Besagne,C,Toulon
145000.0,48.6,2987.0,3.0,Appartement,Le Port,D,Toulon
265000.0,60.0,4417.0,2.0,Appartement,Centre-Ville,B,Toulon
147000.0,63.0,2333.0,3.0,Appartement,Saint Roch,C,Toulon
595000.0,170.0,3500.0,6.0,Maison,Notre Dame Des Routes,C,Toulon
668000.0,136.0,4912.0,5.0,Maison,Centre-Ville,E,Toulon
694000.0,140.0,4957.0,5.0,Maison,Notre Dame Des Routes,D,Toulon
198000.0,96.0,2063.0,4.0,Appartement,Centre-Ville,C,Toulon
599000.0,160.0,3744.0,5.0,Appartement,Puget-Théâtre,A,Toulon
148000.0,56.0,2643.0,3.0,Appartement,Centre-Ville,C,Toulon
315000.0,1.0,3058.0,4.0,Appartement,Centre-Ville,D,Toulon
455000.0,116.0,3922.0,5.0,Appartement,Mourillon-Centre,F,Toulon
1290000.0,220.0,5864.0,8.0,Maison,Centre-Ville,D,Toulon
175000.0,82.0,2134.0,4.0,Appartement,Centre-Ville,E,Toulon
110000.0,4.0,3667.0,1.0,Appartement,Cathedrale,E,Toulon
745000.0,140.0,5321.0,4.0,Maison,Aguillon,A,Toulon
220000.0,78.0,2821.0,4.0,Appartement,Place D'Armes,D,Toulon
171000.0,62.0,2758.0,3.0,Appartement,Temple,D,Toulon
179000.0,82.0,2183.0,4.0,Appartement,Saint Roch,D,Toulon
530000.0,138.0,3841.0,6.0,Maison,Valbertrand,F,Toulon
140000.0,55.0,2545.0,3.0,Appartement,Rodeilhac,D,Toulon
259000.0,45.0,5756.0,3.0,Maison,Trois Quartiers-Siblas,C,Toulon
259000.0,45.0,5756.0,3.0,Appartement,Trois Quartiers-Siblas,C,Toulon
219000.0,49.2,4448.0,3.0,Appartement,Centre-Ville,C,Toulon
212000.0,64.3,3297.0,3.0,Appartement,Centre-Ville,B,Toulon
573000.0,113.5,5051.0,4.0,Appartement,Mourillon-Sud,E,Toulon
545000.0,110.0,4955.0,5.0,Maison,Les Routes,D,Toulon
314000.0,80.0,3925.0,4.0,Appartement,Mourillon-Centre,D,Toulon
180000.0,65.2,2760.0,4.0,Appartement,Centre-Ville,B,Toulon
139000.0,2.0,3564.0,1.0,Appartement,Le Port,D,Toulon
787500.0,185.0,4257.0,5.0,Appartement,Centre-Ville,B,Toulon
438000.0,86.0,5093.0,3.0,Appartement,Centre-Ville,C,Toulon
159000.0,41.0,3878.0,2.0,Appartement,Centre-Ville,C,Toulon
528000.0,143.0,3692.0,5.0,Appartement,Centre-Ville,C,Toulon
159000.0,45.0,3533.0,2.0,Appartement,Mourillon-Centre,D,Toulon
215000.0,108.0,1991.0,5.0,Appartement,Champ De Mars,C,Toulon
151500.0,105.0,513.0,5.0,Maison,Super-Toulon,C,Toulon
180200.0,47.7,3778.0,2.0,Appartement,Super-Toulon,D,Toulon
230000.0,81.0,2840.0,3.0,Appartement,Champ De Mars,D,Toulon
579000.0,131.0,4420.0,7.0,Maison,La Palasse,C,Toulon
1160000.0,250.0,4640.0,5.0,Maison,Centre-Ville,D,Toulon
225000.0,82.0,2744.0,4.0,Appartement,Centre-Ville,C,Toulon
378000.0,95.0,3979.0,5.0,Appartement,Centre-Ville,C,Toulon
199000.0,49.1,4055.0,2.0,Appartement,Centre-Ville,C,Toulon
142000.0,51.0,2784.0,2.0,Appartement,Champ De Mars,E,Toulon
116000.0,50.0,2320.0,2.0,Appartement,Pont-Du-Las,D,Toulon
435000.0,81.0,5370.0,4.0,Maison,Centre-Ville,A,Toulon
124000.0,84.0,1476.0,4.0,Appartement,Champ De Mars,E,Toulon
194250.0,59.1,3286.0,3.0,Appartement,Centre-Ville,D,Toulon
213000.0,76.0,2803.0,3.0,Appartement,Centre-Ville,D,Toulon
139000.0,40.0,3475.0,2.0,Appartement,Centre-Ville,C,Toulon
150000.0,67.0,2239.0,4.0,Appartement,Champ De Mars,D,Toulon
697000.0,200.0,3485.0,8.0,Maison,Valbertrand,C,Toulon
109000.0,68.0,1603.0,4.0,Appartement,Centre-Ville,D,Toulon
181000.0,62.1,2917.0,3.0,Appartement,Centre-Ville,D,Toulon
570000.0,128.0,4453.0,5.0,Maison,Centre-Ville,D,Toulon
229000.0,51.0,4490.0,2.0,Appartement,Centre-Ville,C,Toulon
415000.0,117.0,,5.0,Appartement,Centre-Ville,C,Toulon
282000.0,96.0,2938.0,5.0,Appartement,Centre Ville,D,Toulon
750000.0,138.0,5435.0,8.0,Maison,Cap Brun,C,Toulon
399000.0,110.0,3627.0,5.0,Maison,Centre-Ville,D,Toulon
349000.0,59.0,5915.0,3.0,Appartement,Cap Brun,B,Toulon
74000.0,70.0,1057.0,3.0,Appartement,Centre-Ville,C,Toulon
2890000.0,348.0,8305.0,4.0,Maison,Centre-Ville,A,Toulon
269000.0,93.0,2892.0,3.0,Appartement,Puget-Théâtre,B,Toulon
399000.0,68.0,5864.0,3.0,Appartement,Cap Brun,B,Toulon
131000.0,1.0,4367.0,1.0,Appartement,Besagne,D,Toulon
118000.0,30.0,3933.0,2.0,Appartement,Centre-Ville,C,Toulon
660000.0,166.0,3976.0,7.0,Maison,La Serinette,D,Toulon
139000.0,34.2,4062.0,2.0,Appartement,Centre-Ville,C,Toulon
169000.0,67.5,2504.0,4.0,Appartement,Centre-Ville,D,Toulon
119000.0,2.0,5233.0,1.0,Appartement,Centre-Ville,C,Toulon
960000.0,185.0,5189.0,9.0,Maison,Cap Brun,D,Toulon
